id,label,type,canonical_id,description
ASTRO_SIGN_Aries_HOUSE_H1,SIGN Aries HOUSE H1,astro_concept,,ASTRO_SIGN_Aries_HOUSE_H1 점성학 개념/조합 노드.
ASTRO_SIGN_Aries_HOUSE_H10,SIGN Aries HOUSE H10,astro_concept,,ASTRO_SIGN_Aries_HOUSE_H10 점성학 개념/조합 노드.
ASTRO_SIGN_Aries_HOUSE_H11,SIGN Aries HOUSE H11,astro_concept,,ASTRO_SIGN_Aries_HOUSE_H11 점성학 개념/조합 노드.
ASTRO_SIGN_Aries_HOUSE_H12,SIGN Aries HOUSE H12,astro_concept,,ASTRO_SIGN_Aries_HOUSE_H12 점성학 개념/조합 노드.
ASTRO_SIGN_Aries_HOUSE_H2,SIGN Aries HOUSE H2,astro_concept,,ASTRO_SIGN_Aries_HOUSE_H2 점성학 개념/조합 노드.
ASTRO_SIGN_Aries_HOUSE_H3,SIGN Aries HOUSE H3,astro_concept,,ASTRO_SIGN_Aries_HOUSE_H3 점성학 개념/조합 노드.
ASTRO_SIGN_Aries_HOUSE_H4,SIGN Aries HOUSE H4,astro_concept,,ASTRO_SIGN_Aries_HOUSE_H4 점성학 개념/조합 노드.
ASTRO_SIGN_Aries_HOUSE_H5,SIGN Aries HOUSE H5,astro_concept,,ASTRO_SIGN_Aries_HOUSE_H5 점성학 개념/조합 노드.
ASTRO_SIGN_Aries_HOUSE_H6,SIGN Aries HOUSE H6,astro_concept,,ASTRO_SIGN_Aries_HOUSE_H6 점성학 개념/조합 노드.
ASTRO_SIGN_Aries_HOUSE_H7,SIGN Aries HOUSE H7,astro_concept,,ASTRO_SIGN_Aries_HOUSE_H7 점성학 개념/조합 노드.
ASTRO_SIGN_Aries_HOUSE_H8,SIGN Aries HOUSE H8,astro_concept,,ASTRO_SIGN_Aries_HOUSE_H8 점성학 개념/조합 노드.
ASTRO_SIGN_Aries_HOUSE_H9,SIGN Aries HOUSE H9,astro_concept,,ASTRO_SIGN_Aries_HOUSE_H9 점성학 개념/조합 노드.
ASTRO_SIGN_Cancer_HOUSE_H1,SIGN Cancer HOUSE H1,astro_concept,,ASTRO_SIGN_Cancer_HOUSE_H1 점성학 개념/조합 노드.
ASTRO_SIGN_Cancer_HOUSE_H10,SIGN Cancer HOUSE H10,astro_concept,,ASTRO_SIGN_Cancer_HOUSE_H10 점성학 개념/조합 노드.
ASTRO_SIGN_Cancer_HOUSE_H11,SIGN Cancer HOUSE H11,astro_concept,,ASTRO_SIGN_Cancer_HOUSE_H11 점성학 개념/조합 노드.
ASTRO_SIGN_Cancer_HOUSE_H12,SIGN Cancer HOUSE H12,astro_concept,,ASTRO_SIGN_Cancer_HOUSE_H12 점성학 개념/조합 노드.
ASTRO_SIGN_Cancer_HOUSE_H2,SIGN Cancer HOUSE H2,astro_concept,,ASTRO_SIGN_Cancer_HOUSE_H2 점성학 개념/조합 노드.
ASTRO_SIGN_Cancer_HOUSE_H3,SIGN Cancer HOUSE H3,astro_concept,,ASTRO_SIGN_Cancer_HOUSE_H3 점성학 개념/조합 노드.
ASTRO_SIGN_Cancer_HOUSE_H4,SIGN Cancer HOUSE H4,astro_concept,,ASTRO_SIGN_Cancer_HOUSE_H4 점성학 개념/조합 노드.
ASTRO_SIGN_Cancer_HOUSE_H5,SIGN Cancer HOUSE H5,astro_concept,,ASTRO_SIGN_Cancer_HOUSE_H5 점성학 개념/조합 노드.
ASTRO_SIGN_Cancer_HOUSE_H6,SIGN Cancer HOUSE H6,astro_concept,,ASTRO_SIGN_Cancer_HOUSE_H6 점성학 개념/조합 노드.
ASTRO_SIGN_Cancer_HOUSE_H7,SIGN Cancer HOUSE H7,astro_concept,,ASTRO_SIGN_Cancer_HOUSE_H7 점성학 개념/조합 노드.
ASTRO_SIGN_Cancer_HOUSE_H8,SIGN Cancer HOUSE H8,astro_concept,,ASTRO_SIGN_Cancer_HOUSE_H8 점성학 개념/조합 노드.
ASTRO_SIGN_Cancer_HOUSE_H9,SIGN Cancer HOUSE H9,astro_concept,,ASTRO_SIGN_Cancer_HOUSE_H9 점성학 개념/조합 노드.
ASTRO_SIGN_Capricorn_HOUSE_H1,SIGN Capricorn HOUSE H1,astro_concept,,ASTRO_SIGN_Capricorn_HOUSE_H1 점성학 개념/조합 노드.
ASTRO_SIGN_Capricorn_HOUSE_H10,SIGN Capricorn HOUSE H10,astro_concept,,ASTRO_SIGN_Capricorn_HOUSE_H10 점성학 개념/조합 노드.
ASTRO_SIGN_Capricorn_HOUSE_H11,SIGN Capricorn HOUSE H11,astro_concept,,ASTRO_SIGN_Capricorn_HOUSE_H11 점성학 개념/조합 노드.
ASTRO_SIGN_Capricorn_HOUSE_H12,SIGN Capricorn HOUSE H12,astro_concept,,ASTRO_SIGN_Capricorn_HOUSE_H12 점성학 개념/조합 노드.
ASTRO_SIGN_Capricorn_HOUSE_H2,SIGN Capricorn HOUSE H2,astro_concept,,ASTRO_SIGN_Capricorn_HOUSE_H2 점성학 개념/조합 노드.
ASTRO_SIGN_Capricorn_HOUSE_H3,SIGN Capricorn HOUSE H3,astro_concept,,ASTRO_SIGN_Capricorn_HOUSE_H3 점성학 개념/조합 노드.
ASTRO_SIGN_Capricorn_HOUSE_H4,SIGN Capricorn HOUSE H4,astro_concept,,ASTRO_SIGN_Capricorn_HOUSE_H4 점성학 개념/조합 노드.
ASTRO_SIGN_Capricorn_HOUSE_H5,SIGN Capricorn HOUSE H5,astro_concept,,ASTRO_SIGN_Capricorn_HOUSE_H5 점성학 개념/조합 노드.
ASTRO_SIGN_Capricorn_HOUSE_H6,SIGN Capricorn HOUSE H6,astro_concept,,ASTRO_SIGN_Capricorn_HOUSE_H6 점성학 개념/조합 노드.
ASTRO_SIGN_Capricorn_HOUSE_H7,SIGN Capricorn HOUSE H7,astro_concept,,ASTRO_SIGN_Capricorn_HOUSE_H7 점성학 개념/조합 노드.
ASTRO_SIGN_Capricorn_HOUSE_H8,SIGN Capricorn HOUSE H8,astro_concept,,ASTRO_SIGN_Capricorn_HOUSE_H8 점성학 개념/조합 노드.
ASTRO_SIGN_Capricorn_HOUSE_H9,SIGN Capricorn HOUSE H9,astro_concept,,ASTRO_SIGN_Capricorn_HOUSE_H9 점성학 개념/조합 노드.
ASTRO_SIGN_Gemini_HOUSE_H1,SIGN Gemini HOUSE H1,astro_concept,,ASTRO_SIGN_Gemini_HOUSE_H1 점성학 개념/조합 노드.
ASTRO_SIGN_Gemini_HOUSE_H10,SIGN Gemini HOUSE H10,astro_concept,,ASTRO_SIGN_Gemini_HOUSE_H10 점성학 개념/조합 노드.
ASTRO_SIGN_Gemini_HOUSE_H11,SIGN Gemini HOUSE H11,astro_concept,,ASTRO_SIGN_Gemini_HOUSE_H11 점성학 개념/조합 노드.
ASTRO_SIGN_Gemini_HOUSE_H12,SIGN Gemini HOUSE H12,astro_concept,,ASTRO_SIGN_Gemini_HOUSE_H12 점성학 개념/조합 노드.
ASTRO_SIGN_Gemini_HOUSE_H2,SIGN Gemini HOUSE H2,astro_concept,,ASTRO_SIGN_Gemini_HOUSE_H2 점성학 개념/조합 노드.
ASTRO_SIGN_Gemini_HOUSE_H3,SIGN Gemini HOUSE H3,astro_concept,,ASTRO_SIGN_Gemini_HOUSE_H3 점성학 개념/조합 노드.
ASTRO_SIGN_Gemini_HOUSE_H4,SIGN Gemini HOUSE H4,astro_concept,,ASTRO_SIGN_Gemini_HOUSE_H4 점성학 개념/조합 노드.
ASTRO_SIGN_Gemini_HOUSE_H5,SIGN Gemini HOUSE H5,astro_concept,,ASTRO_SIGN_Gemini_HOUSE_H5 점성학 개념/조합 노드.
ASTRO_SIGN_Gemini_HOUSE_H6,SIGN Gemini HOUSE H6,astro_concept,,ASTRO_SIGN_Gemini_HOUSE_H6 점성학 개념/조합 노드.
ASTRO_SIGN_Gemini_HOUSE_H7,SIGN Gemini HOUSE H7,astro_concept,,ASTRO_SIGN_Gemini_HOUSE_H7 점성학 개념/조합 노드.
ASTRO_SIGN_Gemini_HOUSE_H8,SIGN Gemini HOUSE H8,astro_concept,,ASTRO_SIGN_Gemini_HOUSE_H8 점성학 개념/조합 노드.
ASTRO_SIGN_Gemini_HOUSE_H9,SIGN Gemini HOUSE H9,astro_concept,,ASTRO_SIGN_Gemini_HOUSE_H9 점성학 개념/조합 노드.
ASTRO_SIGN_Leo_HOUSE_H1,SIGN Leo HOUSE H1,astro_concept,,ASTRO_SIGN_Leo_HOUSE_H1 점성학 개념/조합 노드.
ASTRO_SIGN_Leo_HOUSE_H10,SIGN Leo HOUSE H10,astro_concept,,ASTRO_SIGN_Leo_HOUSE_H10 점성학 개념/조합 노드.
ASTRO_SIGN_Leo_HOUSE_H11,SIGN Leo HOUSE H11,astro_concept,,ASTRO_SIGN_Leo_HOUSE_H11 점성학 개념/조합 노드.
ASTRO_SIGN_Leo_HOUSE_H12,SIGN Leo HOUSE H12,astro_concept,,ASTRO_SIGN_Leo_HOUSE_H12 점성학 개념/조합 노드.
ASTRO_SIGN_Leo_HOUSE_H2,SIGN Leo HOUSE H2,astro_concept,,ASTRO_SIGN_Leo_HOUSE_H2 점성학 개념/조합 노드.
ASTRO_SIGN_Leo_HOUSE_H3,SIGN Leo HOUSE H3,astro_concept,,ASTRO_SIGN_Leo_HOUSE_H3 점성학 개념/조합 노드.
ASTRO_SIGN_Leo_HOUSE_H4,SIGN Leo HOUSE H4,astro_concept,,ASTRO_SIGN_Leo_HOUSE_H4 점성학 개념/조합 노드.
ASTRO_SIGN_Leo_HOUSE_H5,SIGN Leo HOUSE H5,astro_concept,,ASTRO_SIGN_Leo_HOUSE_H5 점성학 개념/조합 노드.
ASTRO_SIGN_Leo_HOUSE_H6,SIGN Leo HOUSE H6,astro_concept,,ASTRO_SIGN_Leo_HOUSE_H6 점성학 개념/조합 노드.
ASTRO_SIGN_Leo_HOUSE_H7,SIGN Leo HOUSE H7,astro_concept,,ASTRO_SIGN_Leo_HOUSE_H7 점성학 개념/조합 노드.
ASTRO_SIGN_Leo_HOUSE_H8,SIGN Leo HOUSE H8,astro_concept,,ASTRO_SIGN_Leo_HOUSE_H8 점성학 개념/조합 노드.
ASTRO_SIGN_Leo_HOUSE_H9,SIGN Leo HOUSE H9,astro_concept,,ASTRO_SIGN_Leo_HOUSE_H9 점성학 개념/조합 노드.
ASTRO_SIGN_Libra_HOUSE_H1,SIGN Libra HOUSE H1,astro_concept,,ASTRO_SIGN_Libra_HOUSE_H1 점성학 개념/조합 노드.
ASTRO_SIGN_Libra_HOUSE_H10,SIGN Libra HOUSE H10,astro_concept,,ASTRO_SIGN_Libra_HOUSE_H10 점성학 개념/조합 노드.
ASTRO_SIGN_Libra_HOUSE_H11,SIGN Libra HOUSE H11,astro_concept,,ASTRO_SIGN_Libra_HOUSE_H11 점성학 개념/조합 노드.
ASTRO_SIGN_Libra_HOUSE_H12,SIGN Libra HOUSE H12,astro_concept,,ASTRO_SIGN_Libra_HOUSE_H12 점성학 개념/조합 노드.
ASTRO_SIGN_Libra_HOUSE_H2,SIGN Libra HOUSE H2,astro_concept,,ASTRO_SIGN_Libra_HOUSE_H2 점성학 개념/조합 노드.
ASTRO_SIGN_Libra_HOUSE_H3,SIGN Libra HOUSE H3,astro_concept,,ASTRO_SIGN_Libra_HOUSE_H3 점성학 개념/조합 노드.
ASTRO_SIGN_Libra_HOUSE_H4,SIGN Libra HOUSE H4,astro_concept,,ASTRO_SIGN_Libra_HOUSE_H4 점성학 개념/조합 노드.
ASTRO_SIGN_Libra_HOUSE_H5,SIGN Libra HOUSE H5,astro_concept,,ASTRO_SIGN_Libra_HOUSE_H5 점성학 개념/조합 노드.
ASTRO_SIGN_Libra_HOUSE_H6,SIGN Libra HOUSE H6,astro_concept,,ASTRO_SIGN_Libra_HOUSE_H6 점성학 개념/조합 노드.
ASTRO_SIGN_Libra_HOUSE_H7,SIGN Libra HOUSE H7,astro_concept,,ASTRO_SIGN_Libra_HOUSE_H7 점성학 개념/조합 노드.
ASTRO_SIGN_Libra_HOUSE_H8,SIGN Libra HOUSE H8,astro_concept,,ASTRO_SIGN_Libra_HOUSE_H8 점성학 개념/조합 노드.
ASTRO_SIGN_Libra_HOUSE_H9,SIGN Libra HOUSE H9,astro_concept,,ASTRO_SIGN_Libra_HOUSE_H9 점성학 개념/조합 노드.
ASTRO_SIGN_Pisces_HOUSE_H1,SIGN Pisces HOUSE H1,astro_concept,,ASTRO_SIGN_Pisces_HOUSE_H1 점성학 개념/조합 노드.
ASTRO_SIGN_Pisces_HOUSE_H10,SIGN Pisces HOUSE H10,astro_concept,,ASTRO_SIGN_Pisces_HOUSE_H10 점성학 개념/조합 노드.
ASTRO_SIGN_Pisces_HOUSE_H11,SIGN Pisces HOUSE H11,astro_concept,,ASTRO_SIGN_Pisces_HOUSE_H11 점성학 개념/조합 노드.
ASTRO_SIGN_Pisces_HOUSE_H12,SIGN Pisces HOUSE H12,astro_concept,,ASTRO_SIGN_Pisces_HOUSE_H12 점성학 개념/조합 노드.
ASTRO_SIGN_Pisces_HOUSE_H2,SIGN Pisces HOUSE H2,astro_concept,,ASTRO_SIGN_Pisces_HOUSE_H2 점성학 개념/조합 노드.
ASTRO_SIGN_Pisces_HOUSE_H3,SIGN Pisces HOUSE H3,astro_concept,,ASTRO_SIGN_Pisces_HOUSE_H3 점성학 개념/조합 노드.
ASTRO_SIGN_Pisces_HOUSE_H4,SIGN Pisces HOUSE H4,astro_concept,,ASTRO_SIGN_Pisces_HOUSE_H4 점성학 개념/조합 노드.
ASTRO_SIGN_Pisces_HOUSE_H5,SIGN Pisces HOUSE H5,astro_concept,,ASTRO_SIGN_Pisces_HOUSE_H5 점성학 개념/조합 노드.
ASTRO_SIGN_Pisces_HOUSE_H6,SIGN Pisces HOUSE H6,astro_concept,,ASTRO_SIGN_Pisces_HOUSE_H6 점성학 개념/조합 노드.
ASTRO_SIGN_Pisces_HOUSE_H7,SIGN Pisces HOUSE H7,astro_concept,,ASTRO_SIGN_Pisces_HOUSE_H7 점성학 개념/조합 노드.
ASTRO_SIGN_Pisces_HOUSE_H8,SIGN Pisces HOUSE H8,astro_concept,,ASTRO_SIGN_Pisces_HOUSE_H8 점성학 개념/조합 노드.
ASTRO_SIGN_Pisces_HOUSE_H9,SIGN Pisces HOUSE H9,astro_concept,,ASTRO_SIGN_Pisces_HOUSE_H9 점성학 개념/조합 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H1,SIGN Sagittarius HOUSE H1,astro_concept,,ASTRO_SIGN_Sagittarius_HOUSE_H1 점성학 개념/조합 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H10,SIGN Sagittarius HOUSE H10,astro_concept,,ASTRO_SIGN_Sagittarius_HOUSE_H10 점성학 개념/조합 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H11,SIGN Sagittarius HOUSE H11,astro_concept,,ASTRO_SIGN_Sagittarius_HOUSE_H11 점성학 개념/조합 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H12,SIGN Sagittarius HOUSE H12,astro_concept,,ASTRO_SIGN_Sagittarius_HOUSE_H12 점성학 개념/조합 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H2,SIGN Sagittarius HOUSE H2,astro_concept,,ASTRO_SIGN_Sagittarius_HOUSE_H2 점성학 개념/조합 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H3,SIGN Sagittarius HOUSE H3,astro_concept,,ASTRO_SIGN_Sagittarius_HOUSE_H3 점성학 개념/조합 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H4,SIGN Sagittarius HOUSE H4,astro_concept,,ASTRO_SIGN_Sagittarius_HOUSE_H4 점성학 개념/조합 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H5,SIGN Sagittarius HOUSE H5,astro_concept,,ASTRO_SIGN_Sagittarius_HOUSE_H5 점성학 개념/조합 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H6,SIGN Sagittarius HOUSE H6,astro_concept,,ASTRO_SIGN_Sagittarius_HOUSE_H6 점성학 개념/조합 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H7,SIGN Sagittarius HOUSE H7,astro_concept,,ASTRO_SIGN_Sagittarius_HOUSE_H7 점성학 개념/조합 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H8,SIGN Sagittarius HOUSE H8,astro_concept,,ASTRO_SIGN_Sagittarius_HOUSE_H8 점성학 개념/조합 노드.
ASTRO_SIGN_Sagittarius_HOUSE_H9,SIGN Sagittarius HOUSE H9,astro_concept,,ASTRO_SIGN_Sagittarius_HOUSE_H9 점성학 개념/조합 노드.
ASTRO_SIGN_Scorpio_HOUSE_H1,SIGN Scorpio HOUSE H1,astro_concept,,ASTRO_SIGN_Scorpio_HOUSE_H1 점성학 개념/조합 노드.
ASTRO_SIGN_Scorpio_HOUSE_H10,SIGN Scorpio HOUSE H10,astro_concept,,ASTRO_SIGN_Scorpio_HOUSE_H10 점성학 개념/조합 노드.
ASTRO_SIGN_Scorpio_HOUSE_H11,SIGN Scorpio HOUSE H11,astro_concept,,ASTRO_SIGN_Scorpio_HOUSE_H11 점성학 개념/조합 노드.
ASTRO_SIGN_Scorpio_HOUSE_H12,SIGN Scorpio HOUSE H12,astro_concept,,ASTRO_SIGN_Scorpio_HOUSE_H12 점성학 개념/조합 노드.
ASTRO_SIGN_Scorpio_HOUSE_H2,SIGN Scorpio HOUSE H2,astro_concept,,ASTRO_SIGN_Scorpio_HOUSE_H2 점성학 개념/조합 노드.
ASTRO_SIGN_Scorpio_HOUSE_H3,SIGN Scorpio HOUSE H3,astro_concept,,ASTRO_SIGN_Scorpio_HOUSE_H3 점성학 개념/조합 노드.
ASTRO_SIGN_Scorpio_HOUSE_H4,SIGN Scorpio HOUSE H4,astro_concept,,ASTRO_SIGN_Scorpio_HOUSE_H4 점성학 개념/조합 노드.
ASTRO_SIGN_Scorpio_HOUSE_H5,SIGN Scorpio HOUSE H5,astro_concept,,ASTRO_SIGN_Scorpio_HOUSE_H5 점성학 개념/조합 노드.
ASTRO_SIGN_Scorpio_HOUSE_H6,SIGN Scorpio HOUSE H6,astro_concept,,ASTRO_SIGN_Scorpio_HOUSE_H6 점성학 개념/조합 노드.
ASTRO_SIGN_Scorpio_HOUSE_H7,SIGN Scorpio HOUSE H7,astro_concept,,ASTRO_SIGN_Scorpio_HOUSE_H7 점성학 개념/조합 노드.
ASTRO_SIGN_Scorpio_HOUSE_H8,SIGN Scorpio HOUSE H8,astro_concept,,ASTRO_SIGN_Scorpio_HOUSE_H8 점성학 개념/조합 노드.
ASTRO_SIGN_Scorpio_HOUSE_H9,SIGN Scorpio HOUSE H9,astro_concept,,ASTRO_SIGN_Scorpio_HOUSE_H9 점성학 개념/조합 노드.
ASTRO_SIGN_Taurus_HOUSE_H1,SIGN Taurus HOUSE H1,astro_concept,,ASTRO_SIGN_Taurus_HOUSE_H1 점성학 개념/조합 노드.
ASTRO_SIGN_Taurus_HOUSE_H10,SIGN Taurus HOUSE H10,astro_concept,,ASTRO_SIGN_Taurus_HOUSE_H10 점성학 개념/조합 노드.
ASTRO_SIGN_Taurus_HOUSE_H11,SIGN Taurus HOUSE H11,astro_concept,,ASTRO_SIGN_Taurus_HOUSE_H11 점성학 개념/조합 노드.
ASTRO_SIGN_Taurus_HOUSE_H12,SIGN Taurus HOUSE H12,astro_concept,,ASTRO_SIGN_Taurus_HOUSE_H12 점성학 개념/조합 노드.
ASTRO_SIGN_Taurus_HOUSE_H2,SIGN Taurus HOUSE H2,astro_concept,,ASTRO_SIGN_Taurus_HOUSE_H2 점성학 개념/조합 노드.
ASTRO_SIGN_Taurus_HOUSE_H3,SIGN Taurus HOUSE H3,astro_concept,,ASTRO_SIGN_Taurus_HOUSE_H3 점성학 개념/조합 노드.
ASTRO_SIGN_Taurus_HOUSE_H4,SIGN Taurus HOUSE H4,astro_concept,,ASTRO_SIGN_Taurus_HOUSE_H4 점성학 개념/조합 노드.
ASTRO_SIGN_Taurus_HOUSE_H5,SIGN Taurus HOUSE H5,astro_concept,,ASTRO_SIGN_Taurus_HOUSE_H5 점성학 개념/조합 노드.
ASTRO_SIGN_Taurus_HOUSE_H6,SIGN Taurus HOUSE H6,astro_concept,,ASTRO_SIGN_Taurus_HOUSE_H6 점성학 개념/조합 노드.
ASTRO_SIGN_Taurus_HOUSE_H7,SIGN Taurus HOUSE H7,astro_concept,,ASTRO_SIGN_Taurus_HOUSE_H7 점성학 개념/조합 노드.
ASTRO_SIGN_Taurus_HOUSE_H8,SIGN Taurus HOUSE H8,astro_concept,,ASTRO_SIGN_Taurus_HOUSE_H8 점성학 개념/조합 노드.
ASTRO_SIGN_Taurus_HOUSE_H9,SIGN Taurus HOUSE H9,astro_concept,,ASTRO_SIGN_Taurus_HOUSE_H9 점성학 개념/조합 노드.
ASTRO_SIGN_Virgo_HOUSE_H1,SIGN Virgo HOUSE H1,astro_concept,,ASTRO_SIGN_Virgo_HOUSE_H1 점성학 개념/조합 노드.
ASTRO_SIGN_Virgo_HOUSE_H10,SIGN Virgo HOUSE H10,astro_concept,,ASTRO_SIGN_Virgo_HOUSE_H10 점성학 개념/조합 노드.
ASTRO_SIGN_Virgo_HOUSE_H11,SIGN Virgo HOUSE H11,astro_concept,,ASTRO_SIGN_Virgo_HOUSE_H11 점성학 개념/조합 노드.
ASTRO_SIGN_Virgo_HOUSE_H12,SIGN Virgo HOUSE H12,astro_concept,,ASTRO_SIGN_Virgo_HOUSE_H12 점성학 개념/조합 노드.
ASTRO_SIGN_Virgo_HOUSE_H2,SIGN Virgo HOUSE H2,astro_concept,,ASTRO_SIGN_Virgo_HOUSE_H2 점성학 개념/조합 노드.
ASTRO_SIGN_Virgo_HOUSE_H3,SIGN Virgo HOUSE H3,astro_concept,,ASTRO_SIGN_Virgo_HOUSE_H3 점성학 개념/조합 노드.
ASTRO_SIGN_Virgo_HOUSE_H4,SIGN Virgo HOUSE H4,astro_concept,,ASTRO_SIGN_Virgo_HOUSE_H4 점성학 개념/조합 노드.
ASTRO_SIGN_Virgo_HOUSE_H5,SIGN Virgo HOUSE H5,astro_concept,,ASTRO_SIGN_Virgo_HOUSE_H5 점성학 개념/조합 노드.
ASTRO_SIGN_Virgo_HOUSE_H6,SIGN Virgo HOUSE H6,astro_concept,,ASTRO_SIGN_Virgo_HOUSE_H6 점성학 개념/조합 노드.
ASTRO_SIGN_Virgo_HOUSE_H7,SIGN Virgo HOUSE H7,astro_concept,,ASTRO_SIGN_Virgo_HOUSE_H7 점성학 개념/조합 노드.
ASTRO_SIGN_Virgo_HOUSE_H8,SIGN Virgo HOUSE H8,astro_concept,,ASTRO_SIGN_Virgo_HOUSE_H8 점성학 개념/조합 노드.
ASTRO_SIGN_Virgo_HOUSE_H9,SIGN Virgo HOUSE H9,astro_concept,,ASTRO_SIGN_Virgo_HOUSE_H9 점성학 개념/조합 노드.
ASTRO_SPIRIT_NeptuneNodes,SPIRIT NeptuneNodes,astro_concept,,ASTRO_SPIRIT_NeptuneNodes 점성학 개념/조합 노드.
ASTRO_Sagittarius,Sagittarius,astro_alias,Sagittarius,ASTRO_Sagittarius is an alias for Sagittarius.
ASTRO_Saturn,Saturn,astro_alias,Saturn,ASTRO_Saturn is an alias for Saturn.
ASTRO_Saturn_Aquarius,Saturn Aquarius,astro_concept,,ASTRO_Saturn_Aquarius 점성학 개념/조합 노드.
ASTRO_Saturn_Aries,Saturn Aries,astro_concept,,ASTRO_Saturn_Aries 점성학 개념/조합 노드.
ASTRO_Saturn_Cancer,Saturn Cancer,astro_alias,PS_saturn_can,ASTRO_Saturn_Cancer is an alias for PS_saturn_can.
ASTRO_Saturn_Capricorn,Saturn Capricorn,astro_alias,PS_saturn_cap,ASTRO_Saturn_Capricorn is an alias for PS_saturn_cap.
ASTRO_Saturn_Gemini,Saturn Gemini,astro_concept,,ASTRO_Saturn_Gemini 점성학 개념/조합 노드.
ASTRO_Saturn_H1,Saturn H1,astro_concept,,ASTRO_Saturn_H1 점성학 개념/조합 노드.
ASTRO_Saturn_H10,Saturn H10,astro_alias,HP_saturn_10,ASTRO_Saturn_H10 is an alias for HP_saturn_10.
ASTRO_Saturn_H11,Saturn H11,astro_concept,,ASTRO_Saturn_H11 점성학 개념/조합 노드.
ASTRO_Saturn_H12,Saturn H12,astro_concept,,ASTRO_Saturn_H12 점성학 개념/조합 노드.
ASTRO_Saturn_H2,Saturn H2,astro_concept,,ASTRO_Saturn_H2 점성학 개념/조합 노드.
ASTRO_Saturn_H3,Saturn H3,astro_concept,,ASTRO_Saturn_H3 점성학 개념/조합 노드.
ASTRO_Saturn_H4,Saturn H4,astro_alias,HP_saturn_4,ASTRO_Saturn_H4 is an alias for HP_saturn_4.
ASTRO_Saturn_H5,Saturn H5,astro_concept,,ASTRO_Saturn_H5 점성학 개념/조합 노드.
ASTRO_Saturn_H6,Saturn H6,astro_concept,,ASTRO_Saturn_H6 점성학 개념/조합 노드.
ASTRO_Saturn_H7,Saturn H7,astro_alias,HP_saturn_7,ASTRO_Saturn_H7 is an alias for HP_saturn_7.
ASTRO_Saturn_H8,Saturn H8,astro_concept,,ASTRO_Saturn_H8 점성학 개념/조합 노드.
ASTRO_Saturn_H9,Saturn H9,astro_concept,,ASTRO_Saturn_H9 점성학 개념/조합 노드.
ASTRO_Saturn_Leo,Saturn Leo,astro_concept,,ASTRO_Saturn_Leo 점성학 개념/조합 노드.
ASTRO_Saturn_Libra,Saturn Libra,astro_concept,,ASTRO_Saturn_Libra 점성학 개념/조합 노드.
ASTRO_Saturn_Pisces,Saturn Pisces,astro_concept,,ASTRO_Saturn_Pisces 점성학 개념/조합 노드.
ASTRO_Saturn_Sagittarius,Saturn Sagittarius,astro_concept,,ASTRO_Saturn_Sagittarius 점성학 개념/조합 노드.
ASTRO_Saturn_Scorpio,Saturn Scorpio,astro_concept,,ASTRO_Saturn_Scorpio 점성학 개념/조합 노드.
ASTRO_Saturn_Taurus,Saturn Taurus,astro_concept,,ASTRO_Saturn_Taurus 점성학 개념/조합 노드.
ASTRO_Saturn_Virgo,Saturn Virgo,astro_concept,,ASTRO_Saturn_Virgo 점성학 개념/조합 노드.
ASTRO_Scorpio,Scorpio,astro_alias,Scorpio,ASTRO_Scorpio is an alias for Scorpio.
ASTRO_Sun,Sun,astro_alias,Sun,ASTRO_Sun is an alias for Sun.
ASTRO_Sun_Aquarius,Sun Aquarius,astro_concept,,ASTRO_Sun_Aquarius 점성학 개념/조합 노드.
ASTRO_Sun_Aries,Sun Aries,astro_alias,PS_sun_ari,ASTRO_Sun_Aries is an alias for PS_sun_ari.
ASTRO_Sun_Cancer,Sun Cancer,astro_concept,,ASTRO_Sun_Cancer 점성학 개념/조합 노드.
ASTRO_Sun_Capricorn,Sun Capricorn,astro_concept,,ASTRO_Sun_Capricorn 점성학 개념/조합 노드.
ASTRO_Sun_Gemini,Sun Gemini,astro_concept,,ASTRO_Sun_Gemini 점성학 개념/조합 노드.
ASTRO_Sun_H1,Sun H1,astro_alias,HP_sun_1,ASTRO_Sun_H1 is an alias for HP_sun_1.
ASTRO_Sun_H10,Sun H10,astro_alias,HP_sun_10,ASTRO_Sun_H10 is an alias for HP_sun_10.
ASTRO_Sun_H11,Sun H11,astro_alias,HP_sun_11,ASTRO_Sun_H11 is an alias for HP_sun_11.
ASTRO_Sun_H12,Sun H12,astro_alias,HP_sun_12,ASTRO_Sun_H12 is an alias for HP_sun_12.
ASTRO_Sun_H2,Sun H2,astro_alias,HP_sun_2,ASTRO_Sun_H2 is an alias for HP_sun_2.
ASTRO_Sun_H3,Sun H3,astro_alias,HP_sun_3,ASTRO_Sun_H3 is an alias for HP_sun_3.
